# api-surface-v1
# name	kind
Accessor	type
batch	value
catchError	value
children	value
ChildrenReturn	type
Component	type
Context	type
createComponent	value
createComputed	value
createContext	value
createDeferred	value
createEffect	value
createElement	value
createMemo	value
createMutable	value
createReaction	value
createRenderEffect	value
createResource	value
createRoot	value
createSelector	value
createSignal	value
createStore	value
createTextNode	value
createUniqueId	value
effect	value
ErrorBoundary	value
For	value
from	value
getListener	value
getOwner	value
Index	value
indexArray	value
insert	value
insertNode	value
lazy	value
mapArray	value
Match	value
memo	value
mergeProps	value
modifyMutable	value
observable	value
on	value
onCleanup	value
onError	value
onMount	value
Owner	both
Part	type
produce	value
reconcile	value
render	value
Resource	type
ResourceReturn	type
runWithOwner	value
setProp	value
SetStoreFunction	type
Setter	type
Show	value
Signal	type
splitProps	value
spread	value
startTransition	value
Store	type
StoreNode	type
StoreSetter	type
Suspense	value
Switch	value
untrack	value
unwrap	value
use	value
useContext	value
useTransition	value
