# api-surface-v1
# name	kind
AnyContext	type
AnyRoute	type
AnyRouter	type
BackButton	value
BackButtonProps	type
createFileRoute	value
createLazyFileRoute	value
createRootRoute	value
createRootRouteWithContext	value
createRoute	value
createRouteMask	value
createRouter	value
DefaultErrorComponent	value
DefaultNotFoundComponent	value
DefaultPendingComponent	value
ErrorComponentProps	type
ErrorRouteComponent	type
FileRoutesByPath	type
isNotFound	value
isRedirect	value
lazyFn	value
lazyRouteComponent	value
Link	value
LinkProps	type
NativeActiveOptions	type
NativeNavigateOptions	type
NativeNavigateResult	type
NativeRoute	type
NativeRouter	type
NativeRouterInstance	type
NativeRouterOptions	type
notFound	value
NotFoundRouteComponent	type
NotFoundRouteProps	type
Outlet	value
redirect	value
Register	type
RegisteredRouter	type
RouteComponent	type
RouteMask	type
RouteOptions	type
RouterProvider	value
RouterProviderProps	type
RouterState	type
useCanGoBack	value
useLocation	value
UseLocationOptions	type
UseLocationResult	type
useMatch	value
UseMatchBaseOptions	type
UseMatchOptions	type
UseMatchResult	type
useNavigate	value
useRouter	value
useRouterState	value
UseRouterStateOptions	type
UseRouterStateResult	type
