# api-surface-v1
# name	kind
assertAbortPanicStrategy	value
EMBEDDED_GRAPH_TARGETS	value
EMBEDDED_TARGETS	value
EMBEDDED_USAGE	value
EmbeddedApplication	type
EmbeddedCommandContext	type
EmbeddedEntryIdentity	type
embeddedEntryPointIdentity	value
EmbeddedEntryRole	type
EmbeddedGraph	type
EmbeddedGraphFile	type
EmbeddedGraphTarget	type
EmbeddedGraphTargetSpec	type
EmbeddedPackagingArtifacts	type
EmbeddedPackagingError	both
EmbeddedPackagingOptions	type
EmbeddedPackagingReport	type
EmbeddedProfile	type
EmbeddedQualification	type
embeddedSourceRoot	value
EmbeddedTargetSpec	type
embeddedWorkerIdentity	value
extractGraphPayload	value
GeneratedApplication	type
graphTargetSpec	value
mergePatchTables	value
mergeProfileTables	value
PackagedEmbeddedGraph	type
packageEmbeddedApplication	value
packageEmbeddedGraph	value
PackageEmbeddedGraphOptions	type
parseStandaloneGraph	value
PinnedBunBuild	type
readPinnedBunBuild	value
ResolvedApplication	type
resolveEmbeddedApplication	value
resolveEmbeddedTarget	value
runEmbeddedCommand	value
writeEmbeddedGraphArtifacts	value
WriteEmbeddedGraphOptions	type
writeGeneratedApplication	value
WriteGeneratedApplicationOptions	type
